file,delta_aic,chi2_sine,chi2_saw,period_sine,period_saw,amp_sine,phase_sine,offset_sine,amp_saw,phase_saw,offset_saw
lc_0222.txt,1549.6685731768612,13297.878058793443,11748.209485616584,350.208157949789,344.78462657787753,0.0243124480698814,2.8535066739691795,-0.007235169105194,0.0146453999313075,2.726361120976093,-0.0079552274415482
lc_0223.txt,-345.720503876415,26114.049052661845,26459.76955653826,342.53141196901976,608.9852816946985,0.0271463202687971,3.337103679069648,-0.0213499376684835,0.1033480058531089,3.095429451306289,-0.0196475076850247
lc_0224.txt,12679.718982122744,37731.77894484613,25052.05996272339,454.0579239411092,306.8364680324055,0.0978005426112183,1.1025712523629203,-0.0530660732186179,0.0510298573275732,3.472237047143772,-0.0394104231836969
lc_0225.txt,-11623.337667093116,101514.27187508187,113137.609542175,383.0845287660467,544.5841730118738,0.2438282100871516,1.03082977838114,0.0091152041799974,0.3204867609264168,3.229416564686192,-0.013162856908188
lc_0226.txt,677.7583268223607,36432.81957724617,35755.06125042381,376.39406827879424,357.7718627750906,0.0585232388138822,3.040076483722103,0.0096351261837517,0.0250710817465206,2.6656735900177204,0.003737468719196
lc_0227.txt,400.92897226297487,1778.987645964149,1378.058673701174,385.7024859733393,362.9392149600029,0.0326277568562596,2.4652951121473805,0.0845473083706621,0.020528366368595,2.721134411199218,0.0754093197885355
lc_0228.txt,774.5647965524731,13221.54240405852,12446.977607506047,383.963373891246,488.2269659200131,0.0292504502767698,2.7488184867485157,-0.0681447847545228,0.0155373308429477,3.545218680088482,-0.065974551678413
lc_0229.txt,3631.238576873879,19358.239757580348,15727.00118070647,557.5477472824118,326.860282591642,0.1222299678547228,4.508447230649631,0.0167565952988475,0.0230950481036479,3.274048909260604,0.0318001318014927
lc_0230.txt,-148.32808363612455,6034.286117138625,6182.614200774749,367.8351826639897,318.8821130991957,0.0343783571165548,2.6303542970734046,-0.058781772611339,0.0623314483696808,3.934906363009656,-0.0594938691094855
lc_0231.txt,845.972595964261,4375.131580801621,3529.15898483736,445.7439901941107,456.2888198359302,0.0262260925799929,3.428352723242277,-0.0019258334951835,0.0140081787348479,2.788778516067557,-0.0039247546477461
lc_0232.txt,-16922.916808724833,64800.52679632177,81723.4436050466,371.429537356016,393.37924353410455,0.0929297323874345,3.051976860247485,0.0356419440128001,0.1280049042896971,2.939024425339965,0.0304568273719129
lc_0233.txt,-14517.41426775138,65517.92351127987,80035.33777903125,356.4566384494222,435.53990007421,0.1629566349934636,5.903181219590191,-0.0123952773248451,0.1932725210641767,4.658616166370583,0.0159750218326752
lc_0234.txt,-2316.6078797678783,73730.9268942013,76047.53477396918,374.4192954361721,494.87288787576097,0.0888062620161718,5.272412574762169,-0.0222830805625951,0.2091392522294604,3.0468435071385804,-0.0055975104987421
lc_0235.txt,-1128.304754180006,12166.28165738156,13294.586411561566,357.55729945647454,479.3535144760942,0.0329339848081743,3.844725214976159,0.0688349047641397,0.0403663308435144,2.69203383111029,0.0695367796749476
lc_0236.txt,-3871.794601127098,216032.3638505055,219904.1584516326,353.0313941725051,438.9473082353414,0.1471486151124843,5.318544554732525,-0.2464736734380382,0.3527286730503163,3.094757452432547,-0.2369498137088224
lc_0237.txt,839.3912758049555,35511.06928885871,34671.67801305375,329.4305894764568,349.5980566396102,0.0350209637396809,3.107277890014446,-0.0013796343169414,0.0459134797300844,3.1999462851119813,-0.0014841204171208
lc_0238.txt,-3248.285692309146,75497.52072105624,78745.80641336538,330.6814326938708,352.502402643215,0.0747702379580435,4.499134945975945,-0.00825640832416,0.098746000095648,3.078988646532465,-0.0100739928906624
lc_0239.txt,-3708.15173068711,47043.78069583043,50751.93242651754,363.2736329681156,439.8424254573285,0.1140368711651441,1.3804127242857975,0.0964604840131359,0.1007810225937792,3.3037753080004872,0.0903063736257869
lc_0240.txt,151.14042268112348,1731.094918690476,1579.9544960093524,406.3423316759514,319.18420849214385,0.0243207588546301,3.294332272055021,0.0041510858944113,0.0076819148413041,2.976533987806906,0.0048965338695478
lc_0241.txt,5101.562297497716,25740.68323177074,20639.120934273025,374.9838173374813,437.4845673760125,0.0485014426010718,2.803784287623505,0.0998219061762339,0.0296666609460617,3.1444584448085613,0.0944132623359818
lc_0242.txt,22436.339530035744,45519.31163579183,23082.97210575609,540.0965443300958,352.88873855853086,0.173993425906902,1.3109104758031087,-0.2026076752713736,0.0811823864279321,3.562191050655352,-0.1919812806029724
lc_0243.txt,-173.88516315977358,9531.142990325292,9705.028153485066,340.11008248515697,468.2522270219099,0.0203261201640685,3.464273550130259,-0.0058567528459843,0.0636409011744446,1.5512772610048478,-0.0025836369625084
lc_0244.txt,15336.83414797159,126814.7191865425,111477.88503857092,396.1632638117697,339.49824325005096,0.0922946092987359,3.5095565386535443,0.0589130701878897,0.07413759791511,3.1074922108964964,0.0576315989160684
lc_0245.txt,-338.11122022831114,146640.32615201257,146978.43737224088,355.6260831234844,331.8574016309426,0.0493008814534875,3.7974743609883577,0.080907038340187,0.0171506032546641,1.047196704710753,0.0818925813213339
lc_0246.txt,3798.28506942061,20681.853015178403,16883.567945757793,400.7159054012905,319.5804136620692,0.0669920697543008,5.44164259286767,-0.0313790194093854,0.0165468122385237,3.025503217950885,-0.034835805658795
lc_0247.txt,-166.90372476770426,20696.221937982227,20863.12566274993,376.2532479863065,353.1584815241413,0.0557092199115345,3.3790809928456,-0.0186201877684475,0.0305382449819904,3.653630458455628,-0.0215732293391028
lc_0248.txt,-4725.684835297361,20394.433122393573,25120.11795769093,395.24691117361584,389.451679574336,0.0491312664536417,0.9668700996428318,-0.0270648003467911,0.0953359024817411,3.4563343720656285,-0.0235306370634296
lc_0249.txt,41936.06073431832,85044.16218420304,43108.10144988473,481.0616234261437,301.94964629245794,0.1873113931742156,1.2484391488449469,0.0670328551716442,0.0393808369927583,2.1777914003896863,0.0973640757754044
lc_0250.txt,-5053.808470380478,110145.19412993932,115199.0026003198,420.9489158777776,716.2065663172377,0.196223620653601,5.103349914583467,-0.0527424661468379,0.3042810753057779,3.164125068400714,-0.0447674349372409
lc_0251.txt,1130.4992202588146,23690.39038606442,22559.89116580561,334.9894708955581,385.7039202749773,0.0549501939659127,3.079805341909584,-0.0430805623560879,0.0218067385517637,3.0813713082404925,-0.0467699054122
lc_0252.txt,-1380.2486562603626,14554.699397097153,15934.948053357515,333.1778603318885,256.7494433045541,0.0417429884043759,2.523625177973027,-0.0338220384086888,0.0196851628322057,4.431155094913076,-0.0313948213160778
lc_0253.txt,-6218.300199971872,3512.1730223707755,9730.473222342647,342.1446543248364,802.8400550776194,0.0781185111241073,4.968535105247373,0.0058808875968227,0.0998718537342732,3.2012602237824823,0.0093043148021804
